#Organism Name,Organism Groups,Strain,BioSample,BioProject,Size(Mb),GC%,Type,Replicons,CDS,Release Date
"Acinonyx jubatus","Eukaryota;Animals;Mammals","Rico","","PRJNA504297",0.017047,39.3735,"mitochondrion","MT:NC_005212.1/",13,"2003-11-17T00:00:00Z"
"Acomys cahirinus","Eukaryota;Animals;Mammals","","","PRJNA193797",0.016217,40.6055,"mitochondrion","NC_020758.1/JN571155.1",13,"2013-03-25T00:00:00Z"
"Acratocnus ye","Eukaryota;Animals;Mammals","","","PRJNA550750",0.015385,43.7699,"mitochondrion","NC_042752.1/MK903494.1",13,"2019-06-25T00:00:00Z"
"Addax nasomaculatus","Eukaryota;Animals;Mammals","","","PRJNA194018",0.016751,39.3947,"mitochondrion","NC_020674.1/JN632591.1",13,"2013-03-25T00:00:00Z"
"Aepyceros melampus","Eukaryota;Animals;Mammals","","","PRJNA193956",0.016422,38.15,"mitochondrion","NC_020675.1/JN632592.1",13,"2013-03-25T00:00:00Z"
"Ailuropoda melanoleuca","Eukaryota;Animals;Mammals","Jingjing","","PRJNA633539",0.016805,38.7861,"mitochondrion","MT:NC_009492.1/",13,"2007-05-25T00:00:00Z"
"Ailurus fulgens","Eukaryota;Animals;Mammals","","","PRJNA30903",0.016493,37.616,"mitochondrion","NC_011124.1/AM711897.1",13,"2008-08-06T00:00:00Z"
"Ailurus fulgens styani","Eukaryota;Animals;Mammals","","","PRJNA20163",0.016374,37.474,"mitochondrion","NC_009691.1/AB291074.1",13,"2007-07-24T00:00:00Z"
"Akodon montensis","Eukaryota;Animals;Mammals","","","PRJNA268633",0.016378,40.0415,"mitochondrion","NC_025746.1/KF769456.1",13,"2014-11-26T00:00:00Z"
"Alcelaphus buselaphus","Eukaryota;Animals;Mammals","","","PRJNA194019",0.016373,41.4707,"mitochondrion","NC_020676.1/JN632594.1",13,"2013-03-25T00:00:00Z"
"Alces alces","Eukaryota;Animals;Mammals","","","PRJNA193950",0.016417,36.2125,"mitochondrion","NC_020677.1/JN632595.1",13,"2013-03-25T00:00:00Z"
"Allenopithecus nigroviridis","Eukaryota;Animals;Mammals","","","PRJNA244179",0.016517,40.873,"mitochondrion","NC_023965.1/KJ434962.1",13,"2014-04-09T00:00:00Z"
"Allocebus trichotis","Eukaryota;Animals;Mammals","","","PRJNA400401",0.016863,38.6467,"mitochondrion","NC_035631.1/KM112334.1",13,"2017-08-28T00:00:00Z"
"Allochrocebus lhoesti","Eukaryota;Animals;Mammals","","","PRJNA244218",0.016518,41.9663,"mitochondrion","NC_023962.1/KJ434957.1",13,"2014-04-09T00:00:00Z"
"Alouatta seniculus","Eukaryota;Animals;Mammals","","","PRJNA295581",0.016557,39.4456,"mitochondrion","NC_027825.1/HQ644333.1",13,"2015-09-14T00:00:00Z"
"Ammotragus lervia","Eukaryota;Animals;Mammals","","","PRJNA19719",0.01653,39.9395,"mitochondrion","NC_009510.1/EF466060.1",13,"2007-06-04T00:00:00Z"
"Anomalurus beecrofti","Eukaryota;Animals;Mammals","","","PRJNA484426",0.01682,38.3115,"mitochondrion","NC_038171.1/KX529105.1",13,"2018-08-03T00:00:00Z"
"Anomalurus derbianus","Eukaryota;Animals;Mammals","","","PRJNA484478",0.016876,40.288,"mitochondrion","NC_038173.1/KX529107.1",13,"2018-08-03T00:00:00Z"
"Anomalurus pelii","Eukaryota;Animals;Mammals","","","PRJNA484489",0.016871,38.0416,"mitochondrion","NC_038172.1/KX529106.1",13,"2018-08-03T00:00:00Z"
"Anomalurus pusillus","Eukaryota;Animals;Mammals","","","PRJNA484477",0.016773,38.4964,"mitochondrion","NC_038174.1/KX529108.1",13,"2018-08-03T00:00:00Z"
"Anomalurus sp. GP-2005","Eukaryota;Animals;Mammals","","","PRJNA18917",0.016923,38.3738,"mitochondrion","NC_009056.1/AM159537.1",13,"2007-02-27T00:00:00Z"
"Anoura caudifer","Eukaryota;Animals;Mammals","","","PRJNA221175",0.016546,39.4476,"mitochondrion","NC_022420.1/HG003307.1",13,"2013-09-12T00:00:00Z"
"Anourosorex squamipes","Eukaryota;Animals;Mammals","","","PRJNA256449",0.017121,34.7001,"mitochondrion","NC_024563.1/KJ545899.1",13,"2014-07-28T00:00:00Z"
"Antechinus arktos","Eukaryota;Animals;Mammals","","","PRJNA672464",0.017334,36.7197,"mitochondrion","NC_050988.1/MK977601.1",13,"2020-10-27T00:00:00Z"
"Antechinus flavipes","Eukaryota;Animals;Mammals","","","PRJNA738004",0.017381,37.1267,"mitochondrion","NC_056379.1/",13,"2021-06-19T00:00:00Z"
"Antidorcas marsupialis","Eukaryota;Animals;Mammals","","","PRJNA194020",0.016444,37.3875,"mitochondrion","NC_020678.1/JN632596.1",13,"2013-04-04T00:00:00Z"
"Antilocapra americana","Eukaryota;Animals;Mammals","","","PRJNA193954",0.016352,40.0685,"mitochondrion","NC_020679.1/JN632597.1",13,"2013-03-25T00:00:00Z"
"Antilope cervicapra","Eukaryota;Animals;Mammals","","","PRJNA34567",0.016431,39.2733,"mitochondrion","NC_012098.1/AP003422.1",13,"2009-02-24T00:00:00Z"
"Aonyx capensis","Eukaryota;Animals;Mammals","","","PRJNA615416",0.016188,42.7106,"mitochondrion","NC_046484.1/MK309841.1",13,"2020-03-26T00:00:00Z"
"Aonyx cinereus","Eukaryota;Animals;Mammals","","","PRJNA407134",0.016154,43.0482,"mitochondrion","NC_035814.1/KY117535.1",13,"2017-09-13T00:00:00Z"
"Aotus azarai","Eukaryota;Animals;Mammals","","","PRJNA214408",0.016555,38.5382,"mitochondrion","NC_021939.1/KC757385.1",13,"2013-08-06T00:00:00Z"
"Aotus azarai azarai","Eukaryota;Animals;Mammals","","","PRJNA170294",0.016585,38.5529,"mitochondrion","NC_018115.1/JN161099.1",13,"2012-07-10T00:00:00Z"
"Aotus lemurinus","Eukaryota;Animals;Mammals","","","PRJNA183464",0.01658,38.9505,"mitochondrion","NC_019799.1/FJ785421.1",13,"2012-12-10T00:00:00Z"
"Aotus nancymaae","Eukaryota;Animals;Mammals","86115","","PRJNA282745",0.016469,38.6605,"mitochondrion","MT:NC_018116.1/",13,"2012-07-10T00:00:00Z"
"Apodemus agrarius","Eukaryota;Animals;Mammals","","","PRJNA78521",0.016263,36.1495,"mitochondrion","NC_016428.1/JN629047.1",13,"2011-12-06T00:00:00Z"
"Apodemus chejuensis","Eukaryota;Animals;Mammals","","","PRJNA81233",0.016261,36.2155,"mitochondrion","NC_016662.1/HM034867.1",13,"2012-01-17T00:00:00Z"
"Apodemus chevrieri","Eukaryota;Animals;Mammals","","","PRJNA158479",0.016298,36.4769,"mitochondrion","NC_017599.1/HQ896683.1",13,"2012-04-11T00:00:00Z"
"Apodemus draco","Eukaryota;Animals;Mammals","","","PRJNA182663",0.016282,36.1688,"mitochondrion","NC_019584.1/HQ333255.1",13,"2012-12-03T00:00:00Z"
"Apodemus latronum","Eukaryota;Animals;Mammals","","","PRJNA182670",0.016288,35.8608,"mitochondrion","NC_019585.1/HQ333256.1",13,"2012-12-03T00:00:00Z"
"Apodemus peninsulae","Eukaryota;Animals;Mammals","","","PRJNA74305",0.016269,34.7962,"mitochondrion","NC_016060.1/JN546584.1",13,"2011-10-13T00:00:00Z"
"Apodemus sylvaticus","Eukaryota;Animals;Mammals","","","PRJNA642581",0.016308,36.4484,"mitochondrion","NC_049122.1/MN964126.1",13,"2020-06-28T00:00:00Z"
"Arabitragus jayakari","Eukaryota;Animals;Mammals","","","PRJNA193893",0.016457,39.6852,"mitochondrion","NC_020621.1/FJ207523.1",13,"2013-03-25T00:00:00Z"
"Arctictis binturong","Eukaryota;Animals;Mammals","","","PRJNA708045",0.016506,36.4231,"mitochondrion","NC_053969.1/MW257218.1",13,"2021-03-26T00:00:00Z"
"Arctictis binturong albifrons","Eukaryota;Animals;Mammals","","","PRJNA555951",0.016642,36.3658,"mitochondrion","NC_043895.1/KX449332.1",13,"2019-07-22T00:00:00Z"
"Arctocephalus forsteri","Eukaryota;Animals;Mammals","","","PRJNA12041",0.015413,40.8616,"mitochondrion","NC_004023.1/AF513820.1",13,"2002-06-13T00:00:00Z"
"Arctocephalus pusillus","Eukaryota;Animals;Mammals","","","PRJNA17857",0.016652,40.8119,"mitochondrion","NC_008417.1/AM181018.1",13,"2006-10-03T00:00:00Z"
"Arctocephalus townsendi","Eukaryota;Animals;Mammals","","","PRJNA17873",0.016571,41.1261,"mitochondrion","NC_008420.1/AM181021.1",13,"2006-10-03T00:00:00Z"
"Arctodus simus","Eukaryota;Animals;Mammals","","","PRJNA30881",0.016754,40.3366,"mitochondrion","NC_011116.1/FM177762.1",13,"2008-07-31T00:00:00Z"
"Arctonyx collaris","Eukaryota;Animals;Mammals","","","PRJNA193909",0.016481,38.4018,"mitochondrion","NC_020645.1/HM106329.1",13,"2013-03-25T00:00:00Z"
"Arctotherium sp.","Eukaryota;Animals;Mammals","","","PRJNA321901",0.016532,40.594,"mitochondrion","NC_030174.1/KU886001.1",13,"2016-05-19T00:00:00Z"
"Artibeus jamaicensis","Eukaryota;Animals;Mammals","1a","","PRJNA673233",0.016651,37.8656,"mitochondrion","MT:NC_002009.1/",13,"1999-08-24T00:00:00Z"
"Artibeus lituratus","Eukaryota;Animals;Mammals","","","PRJNA83177",0.016709,37.8419,"mitochondrion","NC_016871.1/JN209840.1",13,"2012-02-10T00:00:00Z"
"Arvicanthis niloticus","Eukaryota;Animals;Mammals","mArvNil1","SAMN12611849","PRJNA632612",0.016269,34.87,"mitochondrion","MT:CM022273.1",0,"2020-03-27T00:00:00Z"
