,accession,name,class,seq_len,is_mongrel,have_contig,complete,shotgun,chromosome
0,NC_041170,"Chaetocnema pelagica mitochondrion, complete genome",Insecta,16331,False,False,True,False,False
1,NC_048883,"Antodynerus aff. limbatus YN mitochondrion, complete genome",Insecta,17975,False,False,True,False,False
2,NC_012387,"Mus musculus castaneus mitochondrion, complete genome",Mammalia,16299,False,False,True,False,False
3,NC_002009,"Artibeus jamaicensis mitochondrion, complete genome",Mammalia,16651,False,False,True,False,False
4,NC_046907,"Epomophorus wahlbergi voucher MNHN-ZM-2011-787 mitochondrion, complete genome",Mammalia,16668,False,False,True,False,False
5,NC_028057,"Lucilia caesar isolate C2 mitochondrion, complete genome",Insecta,15954,False,False,True,False,False
6,NC_045178,"Bombus terrestris lusitanicus mitochondrion, complete genome",Insecta,17049,False,False,True,False,False
7,NC_027246,"Crocidura panayensis voucher KU164877 mitochondrion, complete genome",Mammalia,15456,False,False,True,False,False
8,NC_018098,"Eospalax baileyi mitochondrion, complete genome",Mammalia,16351,False,False,True,False,False
9,OU342425,"Vespa crabro genome assembly, organelle: mitochondrion",Insecta,22728,False,False,False,False,False
10,NC_028058,"Stenopelmatus fuscus isolate BYU-IGC-OR014 mitochondrion, complete genome",Insecta,15767,False,False,True,False,False
11,NC_020659,"Ctenomys leucodon mitochondrion, complete genome",Mammalia,16216,False,False,True,False,False
12,NC_035601,"Microcebus mamiratra isolate LOKO4.37 mitochondrion, complete genome",Mammalia,16735,False,False,True,False,False
13,NC_021746,"Abisara fylloides mitochondrion, complete genome",Insecta,15301,False,False,True,False,False
14,NC_053808,"Dephomys defua voucher MNHN-ZM-2011-343 mitochondrion, complete genome",Mammalia,16252,False,False,True,False,False
15,NC_037735,"Acanthaspis cincticrus mitochondrion, complete genome",Insecta,15686,False,False,True,False,False
16,NC_024099,"Maruca vitrata mitochondrion, complete genome",Insecta,15385,False,False,True,False,False
17,NC_014053,"Parnassius bremeri mitochondrion, complete genome",Insecta,15389,False,False,True,False,False
18,HG992208,"Mellicta athalia genome assembly, organelle: mitochondrion",Insecta,15154,False,False,False,False,False
19,NC_052889,"Gymnochthebius lividus voucher IBE<ESP>:AF163 mitochondrion, complete genome",Insecta,17647,False,False,True,False,False
20,NC_033885,"Hoolock hoolock isolate HHO2 mitochondrion, complete genome",Mammalia,16495,False,False,True,False,False
21,NC_022419,"Micronycteris megalotis mitochondrion, complete genome",Mammalia,16589,False,False,True,False,False
22,NC_029203,"Idioscopus nitidulus mitochondrion, complete genome",Insecta,15287,False,False,True,False,False
23,CM037077,"Aphelinus atriplicis isolate VGg00_Dn mitochondrion, whole genome shotgun sequence",Insecta,17587,False,True,False,True,False
24,NC_059900,"Nicrophorus nepalensis voucher GZUTCM:003 mitochondrion, complete genome",Insecta,17299,False,False,True,False,False
25,NC_044640,"Pseudoregma bambucicola voucher HL20170622-4 mitochondrion, complete genome",Insecta,16632,False,False,True,False,False
26,NC_047464,"Paraahimia luodianensis mitochondrion, complete genome",Insecta,16497,False,False,True,False,False
27,NC_003081,"Tribolium castaneum mitochondrion, complete genome",Insecta,15881,False,False,True,False,False
28,NC_016422,"Oryx gazella mitochondrion, complete genome",Mammalia,16661,False,False,True,False,False
29,NC_053646,"Allonychiurus kimi mitochondrion, complete genome",Collembola,14387,False,False,True,False,False
30,NC_028612,"Sphaeridium bipustulatum mitochondrion, complete genome",Insecta,16576,False,False,True,False,False
31,NC_042694,"Blarina hylophaga voucher USNM:568994 mitochondrion, complete genome",Mammalia,16755,False,False,True,False,False
32,NC_024401,"Neptis soma isolate N546 mitochondrion, complete genome",Insecta,15130,False,False,True,False,False
33,NC_060601,"Lucanus cervus mitochondrion, complete genome",Insecta,22714,False,False,True,False,False
34,NC_030262,"Reticulitermes labralis mitochondrion, complete genome",Insecta,15914,False,False,True,False,False
35,NC_057084,"Seladonia aeraria mitochondrion, complete genome",Insecta,15410,False,False,True,False,False
36,NC_057080,"Plautia crossota mitochondrion, complete genome",Insecta,16809,False,False,True,False,False
37,NC_037393,"Choristoneura occidentalis mitochondrion, complete genome",Insecta,15536,False,False,True,False,False
38,NC_030362,"Aradus compar mitochondrion, complete genome",Insecta,16814,False,False,True,False,False
39,NC_006853,"Bos taurus mitochondrion, complete genome",Mammalia,16338,False,False,True,False,False
40,NC_034781,"Macrosteles quadrilineatus mitochondrion, complete genome",Insecta,16626,False,False,True,False,False
